date,bndes_tjlp,obs_bndes_tlp,ntnb_5yr_yield,cpi_ipca,alpha,ntnb_5yr_yield_ma,est_bndes_tlp,obs_tlp_ipca,bndes_rate,us_treasury_yield,cds_brazil,solar_capacity_ratio,technology_premium,pre_tax_cost_of_debt,cost_of_debt,erp_sp500,cost_of_equity,debt_share,cost_of_capital,selic_target_rate,10yr_bloomberg_yield,yr10_gov_bond_yield,brl_5yr_bloomberg
01 June 2022,,5.01,5.79,11.89,0.91,5.533333333,5.035333333,16.74,16.74,3.013,13.727,9.1237116,1.927834984,18.66783498,12.32077109,5.07,23.73783498,0.7,15.74589026,13.25,6.36,13.05,5.79
01 July 2022,,4.99,6.04,10.07,0.91,5.643333333,5.135433333,16.88,16.88,2.649,14.231,9.4756568,1.836329232,18.71632923,12.35277729,6.01,24.72632923,0.7,16.06484287,13.25,5.43,13.04,6.04
01 August 2022,,5.19,5.94,8.73,0.91,5.813333333,5.290133333,15.26,15.26,3.193,12.067,9.9395755,1.71571037,16.97571037,11.20396884,5.42,22.39571037,0.7,14.5614913,13.75,5.86,12.19,5.94
01 September 2022,,5.23,5.83,7.17,0.91,5.923333333,5.390233333,13.96,13.96,3.829,10.131,10.4143393,1.5,15.46,10.2036,5.45,20.91,0.8,12.34488,13.75,6.59,12,5.83
01 October 2022,,5.27,5.44,6.47,0.91,5.936666667,5.402366667,12.44,12.44,4.048,8.392,10.9489542,1.5,13.94,9.2004,6.21,20.15,0.8,11.39032,13.75,6.39,11.91,5.44
01 November 2022,,5.17,6.1,5.9,0.91,5.736666667,5.220366667,11.64,11.64,3.605,8.035,11.3001448,1.5,13.14,8.6724,5.48,18.62,0.8,10.66192,13.75,5.83,12.81,6.1
01 December 2022,,5.23,6.21,5.79,0.91,5.79,5.2689,11.13,11.13,3.875,7.255,11.697479,1.5,12.63,8.3358,5.26,17.89,0.8,10.24664,13.75,6.08,12.76,6.21
01 January 2023,,5.93,6.21,5.77,1,5.916666667,5.916666667,11.72,11.72,3.507,8.213,12.2105885,1.5,13.22,8.7252,5.94,19.16,0.8,10.81216,13.75,6.14,13.07,6.21
01 February 2023,,6.08,5.96,5.6,1,6.173333333,6.173333333,11.85,11.85,3.92,7.93,12.7567519,1.5,13.35,8.811,5.54,18.89,0.8,10.8268,13.75,6.47,13.31,5.96
01 March 2023,,6.15,5.78,4.65,1,6.126666667,6.126666667,11.75,11.75,3.468,8.282,13.2026256,1.5,13.25,8.745,5.58,18.83,0.8,10.762,13.75,6.18,12.82,5.78
01 April 2023,,6.05,5.68,4.18,1,5.983333333,5.983333333,10.7,10.7,3.422,7.278,13.7297757,1.5,12.2,8.052,5.44,17.64,0.8,9.9696,13.75,6.19,12.36,5.68
01 May 2023,,5.93,5.66,3.94,1,5.806666667,5.806666667,10.11,10.11,3.643,6.467,14.1294147,1.5,11.61,7.6626,5.3,16.91,0.8,9.51208,13.75,6.21,11.55,5.66
01 June 2023,,5.69,5.45,3.16,1,5.706666667,5.706666667,9.63,9.63,3.837,5.793,14.7469819,1.5,11.13,7.3458,5.25,16.38,0.8,9.15264,13.75,6.12,10.68,5.45
01 July 2023,,5.49,5.26,3.99,1,5.596666667,5.596666667,8.65,8.65,3.959,4.691,15.0010398,1.5,10.15,6.699,5,15.15,0.8,8.3892,13.75,6.07,10.85,5.26
01 August 2023,,5.31,5.26,4.61,1,5.456666667,5.456666667,9.3,9.3,4.108,5.192,15.1879593,1.5,10.8,7.128,4.83,15.63,0.8,8.8284,13.25,6.31,11.23,5.26
