date_x,name_auction,seller_name,power_plant_name,capex,nominal_capacity_mw,physical_guarantee_mwave,energy_contracted,sale_price_auction,financial_amount_negotiated,supply_start_date,supply_end_date,auction_ipca,year,month,capacity_factor,exp_energy_prod,opex_yearly,opex_inflated,opex_baseline,capex_baseline,lcoe_baseline,cost_of_capital,discounted_opex,discounted_energy,capex_wacc,opex_wacc,lcoe_wacc,brl_usd,capex_mw,capex_mw_usd,date_y,cpi,capex_mw_usd_2022,lcoe_baseline_usd,lcoe_wacc_usd,lcoe_baseline_usd_2022,lcoe_wacc_usd_2022
2019-10-18,30ºLEN,VOLTALIA,SERRA DO MEL II,74524720,20.0,7.0,368172.0,84.0,30926448.0,01/01/2025,31/12/2044,5227.84,2019,10,0.35,61320.0,1079863.19,"[1117658.40165, 1156776.4457077498, 1197263.621307521, 1239167.848053284, 1282538.7227351489, 1327427.578030879, 1373887.5432619595, 1421973.6072761281, 1471742.6835307926, 1523253.67745437, 1576567.556165273, 1631747.4206310576, 1688858.5803531443, 1747968.6306655041, 1809147.532738797, 1872467.6963846546, 1938004.0657581172, 2005834.208059651, 2076038.4053417388, 2148699.7495286996, 2223904.240762204, 2301740.8891888806, 2382301.820310491, 2465682.3840213586, 2551981.267462106]",28.3970219024002,48.61364644487932,77.01066834727952,8.536074381,15426409.74801312,625681.8924016083,119.10960010996226,24.65535591704694,143.7649560270092,3.946402372,3726236.0,944210.8656831103,2019-10-01,257.346,1088957.8711235072,19.51414505871869,36.42937097520303,22.505652743747838,42.01397347278502
2021-07-08,33ºLEN,SOLAR TECNOLOGIA,Boa Hora 4,109820000,23.1,5.8,315576.0,120.0,37869120.0,01/01/2024,31/12/2043,5769.98,2021,7,0.2510822510822511,50808.0,1591291.8,"[1646987.013, 1704631.558455, 1764293.6630009247, 1826043.941205957, 1889955.479148165, 1956103.9209183506, 2024567.5581504928, 2095427.42268576, 2168767.3824797617, 2244674.240866553, 2323237.839296882, 2404551.163672273, 2488710.4544008025, 2575815.32030483, 2665968.8565154993, 2759277.766493541, 2855852.488320815, 2955807.325412043, 3059260.581801465, 3166334.7021645154, 3277156.416740273, 3391856.8913261825, 3510571.882522599, 3633441.8984108893, 3760612.3648552704]",50.50378533471016,86.45882538182963,136.96261071653979,11.96455829,16731105.778034795,399476.2104016664,274.90998747979984,41.88260863196824,316.7925961117681,5.396306426,4754112.554112554,880993.8092482508,2021-07-01,273.003,957778.1914610942,25.380806778621544,58.70544982127524,27.59291036902356,63.82201437568462
2021-07-08,33ºLEN,SANTA LUZIA VII,SANTA LUZIA VII,144693200,50.0,14.9,1402560.0,127.4,178686144.0,01/01/2024,31/12/2043,5769.98,2021,7,0.298,130523.99999999999,2096604.47,"[2169985.62645, 2245935.1233757497, 2324542.8526939005, 2405901.852538187, 2490108.4173770235, 2577262.211985219, 2667466.389404701, 2760827.7130338657, 2857456.682990051, 2957467.6668947022, 3060979.035236017, 3168113.301469277, 3278997.267020702, 3393762.1713664257, 3512543.8473642506, 3635482.882021999, 3762724.7828927687, 3894420.150294015, 4030724.8555543055, 4171800.225498706, 4317813.23339116, 4468936.69655985, 4625349.480939445, 4787236.712772326, 4954789.997719356]",25.901942685435326,44.342251233489634,70.24419391892496,11.96455829,22044046.957491126,1026240.6094801428,140.99344604312282,21.480388472112654,162.47383451523547,5.396306426,2893864.0,536267.545159601,2021-07-01,273.003,583006.7750198134,13.017087684361416,30.108341092792397,14.151612156113359,32.7324802706106
2021-07-08,33ºLEN,SANTA LUZIA V,SANTA LUZIA V,144693200,50.0,14.9,1402560.0,127.4,178686144.0,01/01/2024,31/12/2043,5769.98,2021,7,0.298,130523.99999999999,2096604.47,"[2169985.62645, 2245935.1233757497, 2324542.8526939005, 2405901.852538187, 2490108.4173770235, 2577262.211985219, 2667466.389404701, 2760827.7130338657, 2857456.682990051, 2957467.6668947022, 3060979.035236017, 3168113.301469277, 3278997.267020702, 3393762.1713664257, 3512543.8473642506, 3635482.882021999, 3762724.7828927687, 3894420.150294015, 4030724.8555543055, 4171800.225498706, 4317813.23339116, 4468936.69655985, 4625349.480939445, 4787236.712772326, 4954789.997719356]",25.901942685435326,44.342251233489634,70.24419391892496,11.96455829,22044046.957491126,1026240.6094801428,140.99344604312282,21.480388472112654,162.47383451523547,5.396306426,2893864.0,536267.545159601,2021-07-01,273.003,583006.7750198134,13.017087684361416,30.108341092792397,14.151612156113359,32.7324802706106
2021-07-08,33ºLEN,SOLAR TECNOLOGIA,Boa Hora 5,109820000,23.1,5.8,315576.0,120.0,37869120.0,01/01/2024,31/12/2043,5769.98,2021,7,0.2510822510822511,50808.0,1591291.8,"[1646987.013, 1704631.558455, 1764293.6630009247, 1826043.941205957, 1889955.479148165, 1956103.9209183506, 2024567.5581504928, 2095427.42268576, 2168767.3824797617, 2244674.240866553, 2323237.839296882, 2404551.163672273, 2488710.4544008025, 2575815.32030483, 2665968.8565154993, 2759277.766493541, 2855852.488320815, 2955807.325412043, 3059260.581801465, 3166334.7021645154, 3277156.416740273, 3391856.8913261825, 3510571.882522599, 3633441.8984108893, 3760612.3648552704]",50.50378533471016,86.45882538182963,136.96261071653979,11.96455829,16731105.778034795,399476.2104016664,274.90998747979984,41.88260863196824,316.7925961117681,5.396306426,4754112.554112554,880993.8092482508,2021-07-01,273.003,957778.1914610942,25.380806778621544,58.70544982127524,27.59291036902356,63.82201437568462
2021-07-08,33ºLEN,SOLAR TECNOLOGIA,Boa Hora 6,109820000,23.1,5.8,315576.0,120.0,37869120.0,01/01/2024,31/12/2043,5769.98,2021,7,0.2510822510822511,50808.0,1591291.8,"[1646987.013, 1704631.558455, 1764293.6630009247, 1826043.941205957, 1889955.479148165, 1956103.9209183506, 2024567.5581504928, 2095427.42268576, 2168767.3824797617, 2244674.240866553, 2323237.839296882, 2404551.163672273, 2488710.4544008025, 2575815.32030483, 2665968.8565154993, 2759277.766493541, 2855852.488320815, 2955807.325412043, 3059260.581801465, 3166334.7021645154, 3277156.416740273, 3391856.8913261825, 3510571.882522599, 3633441.8984108893, 3760612.3648552704]",50.50378533471016,86.45882538182963,136.96261071653979,11.96455829,16731105.778034795,399476.2104016664,274.90998747979984,41.88260863196824,316.7925961117681,5.396306426,4754112.554112554,880993.8092482508,2021-07-01,273.003,957778.1914610942,25.380806778621544,58.70544982127524,27.59291036902356,63.82201437568462
2021-07-08,34ºLEN,SANTA LUZIA VII,SANTA LUZIA VII,144693200,50.0,14.9,1051920.0,138.5,145690920.0,01/01/2025,31/12/2044,5769.98,2021,7,0.298,130523.99999999999,2096604.47,"[2169985.62645, 2245935.1233757497, 2324542.8526939005, 2405901.852538187, 2490108.4173770235, 2577262.211985219, 2667466.389404701, 2760827.7130338657, 2857456.682990051, 2957467.6668947022, 3060979.035236017, 3168113.301469277, 3278997.267020702, 3393762.1713664257, 3512543.8473642506, 3635482.882021999, 3762724.7828927687, 3894420.150294015, 4030724.8555543055, 4171800.225498706, 4317813.23339116, 4468936.69655985, 4625349.480939445, 4787236.712772326, 4954789.997719356]",25.901942685435326,44.342251233489634,70.24419391892496,11.96455829,22044046.957491126,1026240.6094801428,140.99344604312282,21.480388472112654,162.47383451523547,5.396306426,2893864.0,536267.545159601,2021-07-01,273.003,583006.7750198134,13.017087684361416,30.108341092792397,14.151612156113359,32.7324802706106
2021-07-08,34ºLEN,SANTA LUZIA IX,SANTA LUZIA IX,144693200,50.0,14.9,1753200.0,135.0,236682000.0,01/01/2025,31/12/2044,5769.98,2021,7,0.298,130523.99999999999,2096604.47,"[2169985.62645, 2245935.1233757497, 2324542.8526939005, 2405901.852538187, 2490108.4173770235, 2577262.211985219, 2667466.389404701, 2760827.7130338657, 2857456.682990051, 2957467.6668947022, 3060979.035236017, 3168113.301469277, 3278997.267020702, 3393762.1713664257, 3512543.8473642506, 3635482.882021999, 3762724.7828927687, 3894420.150294015, 4030724.8555543055, 4171800.225498706, 4317813.23339116, 4468936.69655985, 4625349.480939445, 4787236.712772326, 4954789.997719356]",25.901942685435326,44.342251233489634,70.24419391892496,11.96455829,22044046.957491126,1026240.6094801428,140.99344604312282,21.480388472112654,162.47383451523547,5.396306426,2893864.0,536267.545159601,2021-07-01,273.003,583006.7750198134,13.017087684361416,30.108341092792397,14.151612156113359,32.7324802706106
2021-09-30,35ºLEN,BJA A5/21,Bom Jardim I,209376430,48.12,15.1,604881.6,168.0,101620108.8,01/01/2026,31/12/2040,5876.05,2021,9,0.31379883624272653,132276.0,3033864.47,"[3140049.72645, 3249951.4668757496, 3363699.768216401, 3481429.2601039745, 3603279.284207613, 3729394.0591548793, 3859922.8512252998, 3995020.151018185, 4134845.856303822, 4279565.461274454, 4429350.25241906, 4584377.511253728, 4744830.724147608, 4910899.799492773, 5082781.29247502, 5260678.637711645, 5444802.390031552, 5635370.473682656, 5832608.440261548, 6036749.7356707025, 6248035.976419177, 6466717.235593846, 6693052.3388396315, 6927309.170699018, 7169764.991673483]",36.98463420581264,63.315017085487916,100.29965129130056,13.15986776,29013419.466369715,959446.6104904433,218.22624386881975,30.239743565865364,248.4659874346851,5.396306426,4351131.130507066,806316.5407996173,2021-09-01,274.31,872415.6259695382,18.5867227272428,46.043713573704515,20.110398983914116,49.8182204714913
2021-09-30,35ºLEN,BJA A5/21,Bom Jardim III,209376430,48.12,15.1,591732.0,168.0,99410976.0,01/01/2026,31/12/2040,5876.05,2021,9,0.31379883624272653,132276.0,3033864.47,"[3140049.72645, 3249951.4668757496, 3363699.768216401, 3481429.2601039745, 3603279.284207613, 3729394.0591548793, 3859922.8512252998, 3995020.151018185, 4134845.856303822, 4279565.461274454, 4429350.25241906, 4584377.511253728, 4744830.724147608, 4910899.799492773, 5082781.29247502, 5260678.637711645, 5444802.390031552, 5635370.473682656, 5832608.440261548, 6036749.7356707025, 6248035.976419177, 6466717.235593846, 6693052.3388396315, 6927309.170699018, 7169764.991673483]",36.98463420581264,63.315017085487916,100.29965129130056,13.15986776,29013419.466369715,959446.6104904433,218.22624386881975,30.239743565865364,248.4659874346851,5.396306426,4351131.130507066,806316.5407996173,2021-09-01,274.31,872415.6259695382,18.5867227272428,46.043713573704515,20.110398983914116,49.8182204714913
2021-09-30,35ºLEN,CSI RDSF,Raios de São Francisco V,100694010,30.0,8.7,867873.6,166.61,144596420.5,01/01/2026,31/12/2040,5876.05,2021,9,0.29,76212.0,1459056.2,"[1510123.167, 1562977.4778449999, 1617681.6895695745, 1674300.5487045096, 1732901.0679091671, 1793552.6052859877, 1856326.9464709973, 1921298.389597482, 1988543.833233394, 2058142.8673965624, 2130177.867755442, 2204734.0931268823, 2281899.786386323, 2361766.2789098443, 2444428.0986716887, 2529983.0821251976, 2618532.4899995793, 2710181.127149564, 2805037.4665997988, 2903213.7779307915, 3004826.260158369, 3109995.179263911, 3218845.010538148, 3331504.5859069834, 3448107.2464137273]",30.87129635435308,52.84942528735632,83.7207216417094,13.15986776,13953230.269250432,552793.7424680038,182.15475730684173,25.241295617701496,207.39605292454323,5.396306426,3356467.0,621993.4034561439,2021-09-01,274.31,672982.3052953708,15.514449149576409,38.43296443013061,16.786270876916007,41.58356802147014
2021-09-30,35ºLEN,CSI RDSF,Raios de São Francisco VI,100694010,30.0,8.7,867873.6,166.32,144344737.2,01/01/2026,31/12/2040,5876.05,2021,9,0.29,76212.0,1459056.2,"[1510123.167, 1562977.4778449999, 1617681.6895695745, 1674300.5487045096, 1732901.0679091671, 1793552.6052859877, 1856326.9464709973, 1921298.389597482, 1988543.833233394, 2058142.8673965624, 2130177.867755442, 2204734.0931268823, 2281899.786386323, 2361766.2789098443, 2444428.0986716887, 2529983.0821251976, 2618532.4899995793, 2710181.127149564, 2805037.4665997988, 2903213.7779307915, 3004826.260158369, 3109995.179263911, 3218845.010538148, 3331504.5859069834, 3448107.2464137273]",30.87129635435308,52.84942528735632,83.7207216417094,13.15986776,13953230.269250432,552793.7424680038,182.15475730684173,25.241295617701496,207.39605292454323,5.396306426,3356467.0,621993.4034561439,2021-09-01,274.31,672982.3052953708,15.514449149576409,38.43296443013061,16.786270876916007,41.58356802147014
2021-09-30,35ºLEN,Panorama,Lins 01,16306000,5.01,1.1,65748.0,166.31,10934549.88,01/01/2026,31/12/2040,5876.05,2021,9,0.219560878243513,9636.0,236273.94,"[244543.5279, 253102.55137649996, 261961.14067467744, 271129.78059829114, 280619.3229192313, 290440.9992214044, 300606.43419415347, 311127.65939094883, 322017.1274696321, 333287.7269310691, 344952.79737365653, 357026.1452817345, 369522.06036659516, 382455.33247942594, 395841.26911620586, 409695.71353527304, 424035.0635090075, 438876.2907318227, 454236.96090743656, 470135.2545391968, 486589.9884480686, 503620.63804375095, 521247.36037528224, 539491.0179884171, 558373.2036180116]",39.538959597300924,67.68783727687837,107.22679687417929,13.15986776,2259532.3548490186,69893.4616913568,233.29793095677275,32.32823643543239,265.62616739220516,5.396306426,3254690.618762475,603133.0250411682,2021-09-01,274.31,652575.817262016,19.870405497647194,49.2236997721977,21.499313697951933,53.25889111329868
2021-09-30,35ºLEN,Panorama,Lins 02,17681000,5.01,1.1,65748.0,166.31,10934549.88,01/01/2026,31/12/2040,5876.05,2021,9,0.219560878243513,9636.0,256197.69,"[265164.60915, 274445.37047024997, 284050.95843670866, 293992.7419819935, 304282.4879513632, 314932.3750296609, 325955.008155699, 337363.43344114843, 349171.15361158864, 361392.1439879942, 374040.86902757396, 387132.29944353906, 400681.92992406286, 414705.797471405, 429220.5003829042, 444243.2178963058, 459791.73052267643, 475884.44109097007, 492540.39652915404, 509779.31040767435, 527621.586271943, 546088.3417914609, 565201.4337541619, 584983.4839355577, 605457.905873302]",42.87307399974719,73.395599833956,116.26867383370319,13.15986776,2450066.94260306,69893.4616913568,252.97072962386233,35.05430813288851,288.02503775675086,5.396306426,3529141.7165668663,653992.0897677478,2021-09-01,274.31,707604.1349815838,21.545973237084517,53.37447784080875,23.3122387767379,57.7499358379881
2021-09-30,35ºLEN,Panorama,Lins 03,17681000,5.01,1.1,65748.0,166.31,10934549.88,01/01/2026,31/12/2040,5876.05,2021,9,0.219560878243513,9636.0,256197.69,"[265164.60915, 274445.37047024997, 284050.95843670866, 293992.7419819935, 304282.4879513632, 314932.3750296609, 325955.008155699, 337363.43344114843, 349171.15361158864, 361392.1439879942, 374040.86902757396, 387132.29944353906, 400681.92992406286, 414705.797471405, 429220.5003829042, 444243.2178963058, 459791.73052267643, 475884.44109097007, 492540.39652915404, 509779.31040767435, 527621.586271943, 546088.3417914609, 565201.4337541619, 584983.4839355577, 605457.905873302]",42.87307399974719,73.395599833956,116.26867383370319,13.15986776,2450066.94260306,69893.4616913568,252.97072962386233,35.05430813288851,288.02503775675086,5.396306426,3529141.7165668663,653992.0897677478,2021-09-01,274.31,707604.1349815838,21.545973237084517,53.37447784080875,23.3122387767379,57.7499358379881
2021-09-30,35ºLEN,Panorama,Lins 04,17681000,5.01,1.1,65748.0,166.31,10934549.88,01/01/2026,31/12/2040,5876.05,2021,9,0.219560878243513,9636.0,256197.69,"[265164.60915, 274445.37047024997, 284050.95843670866, 293992.7419819935, 304282.4879513632, 314932.3750296609, 325955.008155699, 337363.43344114843, 349171.15361158864, 361392.1439879942, 374040.86902757396, 387132.29944353906, 400681.92992406286, 414705.797471405, 429220.5003829042, 444243.2178963058, 459791.73052267643, 475884.44109097007, 492540.39652915404, 509779.31040767435, 527621.586271943, 546088.3417914609, 565201.4337541619, 584983.4839355577, 605457.905873302]",42.87307399974719,73.395599833956,116.26867383370319,13.15986776,2450066.94260306,69893.4616913568,252.97072962386233,35.05430813288851,288.02503775675086,5.396306426,3529141.7165668663,653992.0897677478,2021-09-01,274.31,707604.1349815838,21.545973237084517,53.37447784080875,23.3122387767379,57.7499358379881
2021-09-30,35ºLEN,Panorama,Lins 05,17681000,5.01,1.1,65748.0,166.31,10934549.88,01/01/2026,31/12/2040,5876.05,2021,9,0.219560878243513,9636.0,256197.69,"[265164.60915, 274445.37047024997, 284050.95843670866, 293992.7419819935, 304282.4879513632, 314932.3750296609, 325955.008155699, 337363.43344114843, 349171.15361158864, 361392.1439879942, 374040.86902757396, 387132.29944353906, 400681.92992406286, 414705.797471405, 429220.5003829042, 444243.2178963058, 459791.73052267643, 475884.44109097007, 492540.39652915404, 509779.31040767435, 527621.586271943, 546088.3417914609, 565201.4337541619, 584983.4839355577, 605457.905873302]",42.87307399974719,73.395599833956,116.26867383370319,13.15986776,2450066.94260306,69893.4616913568,252.97072962386233,35.05430813288851,288.02503775675086,5.396306426,3529141.7165668663,653992.0897677478,2021-09-01,274.31,707604.1349815838,21.545973237084517,53.37447784080875,23.3122387767379,57.7499358379881
