date,power_plant_name,sale_price_auction,lcoe_wacc,cost_of_capital,capex_current,capex_required_to_match_auction,capex_reduction_pct_required,capex_status
2017-12-18,SERTAO SOLAR BARREIRAS I,143.5,337.9328702908167,10.0147157,154652000.0,49640771.31840354,67.90162990559222,solvable_with_capex_reduction
2017-12-18,SERTAO SOLAR BARREIRAS II,143.5,337.9328702908167,10.0147157,154652000.0,49640771.31840354,67.90162990559222,solvable_with_capex_reduction
2017-12-18,SERTAO SOLAR BARREIRAS III,146.6,337.9328702908167,10.0147157,154652000.0,51315049.99580022,66.81901947870041,solvable_with_capex_reduction
2017-12-18,SERTAO SOLAR BARREIRAS IV,146.6,337.9328702908167,10.0147157,154652000.0,51315049.99580022,66.81901947870041,solvable_with_capex_reduction
2017-12-18,BRIGIDA,144.9,317.9963868968967,10.0147157,190470790.0,68112006.86568621,64.2401825152895,solvable_with_capex_reduction
2017-12-18,BRIGIDA 2,143.6,355.1099690844139,10.0147157,212700770.0,63188103.08708251,70.29248973236791,solvable_with_capex_reduction
2018-04-04,ALEX I,118.0,197.2869342956047,8.846560977,146000000.0,75538388.67071581,48.26137762279739,solvable_with_capex_reduction
2018-04-04,ALEX III,118.0,185.80105113455923,8.846560977,137500000.0,77245793.48788024,43.82124109972346,solvable_with_capex_reduction
2018-04-04,ALEX IV,118.0,185.80105113455923,8.846560977,137500000.0,77245793.48788024,43.82124109972346,solvable_with_capex_reduction
2018-04-04,ALEX IX,118.39,185.80105113455923,8.846560977,137500000.0,77592383.10775341,43.569175921633885,solvable_with_capex_reduction
2018-04-04,ALEX V,118.0,185.80105113455923,8.846560977,137500000.0,77245793.48788024,43.82124109972346,solvable_with_capex_reduction
2018-04-04,ALEX VI,118.0,185.80105113455923,8.846560977,137500000.0,77245793.48788024,43.82124109972346,solvable_with_capex_reduction
2018-04-04,ALEX VII,118.39,185.80105113455923,8.846560977,137500000.0,77592383.10775341,43.569175921633885,solvable_with_capex_reduction
2018-04-04,ALEX VIII,118.25,185.80105113455923,8.846560977,137500000.0,77467966.32113226,43.659660857358354,solvable_with_capex_reduction
2018-04-04,ALEX X,118.39,185.80105113455923,8.846560977,137500000.0,77592383.10775341,43.569175921633885,solvable_with_capex_reduction
2018-04-04,ETESA 17 SAO JOAO DO PIAUI I,117.8,278.75418011631587,8.846560977,169885000.0,52088518.333467275,69.33895380200296,solvable_with_capex_reduction
2018-04-04,ETESA 18 SAO JOAO DO PIAUI II,117.8,278.75418011631587,8.846560977,169885000.0,52088518.333467275,69.33895380200296,solvable_with_capex_reduction
2018-04-04,ETESA 19 SAO JOAO DO PIAUI III,117.8,278.75418011631587,8.846560977,169885000.0,52088518.333467275,69.33895380200296,solvable_with_capex_reduction
2018-04-04,ETESA 20 SAO JOAO DO PIAUI IV,117.8,278.75418011631587,8.846560977,169885000.0,52088518.333467275,69.33895380200296,solvable_with_capex_reduction
2018-04-04,ETESA 21 SAO JOAO DO PIAUI V,117.8,278.75418011631587,8.846560977,169885000.0,52088518.333467275,69.33895380200296,solvable_with_capex_reduction
2018-04-04,ETESA 22 SAO JOAO DO PIAUI VI,117.8,278.75418011631587,8.846560977,169885000.0,52088518.333467275,69.33895380200296,solvable_with_capex_reduction
2018-04-04,FRANCISCO SA 1,117.91,198.90535031141806,8.846560977,131323430.0,67106098.715200156,48.900132508570515,solvable_with_capex_reduction
2018-04-04,FRANCISCO SA 2,118.35,198.90535031141806,8.846560977,131323430.0,67454953.62670647,48.63448691013746,solvable_with_capex_reduction
2018-04-04,FRANCISCO SA 3,118.35,198.90535031141806,8.846560977,131323430.0,67454953.62670647,48.63448691013746,solvable_with_capex_reduction
2018-04-04,LAVRAS 1,118.01,382.2957274788213,8.846560977,171967150.0,29203983.355039265,83.01769648735862,solvable_with_capex_reduction
2018-04-04,LAVRAS 2,118.02,382.2957274788213,8.846560977,171967150.0,29209385.20431833,83.01455527737807,solvable_with_capex_reduction
2018-04-04,LAVRAS 3,118.03,382.2957274788213,8.846560977,171967150.0,29214787.0535974,83.01141406739752,solvable_with_capex_reduction
2018-04-04,LAVRAS 4,118.04,382.2957274788213,8.846560977,171967150.0,29220188.902876474,83.00827285741697,solvable_with_capex_reduction
2018-04-04,LAVRAS 5,118.05,382.2957274788213,8.846560977,171967150.0,29225590.752155535,83.00513164743641,solvable_with_capex_reduction
2018-04-04,SAO PEDRO E PAULO I,117.63,259.0212368650223,8.846560977,125911250.0,43374365.948325105,65.55163581623954,solvable_with_capex_reduction
2018-04-04,SOLAR JAIBA 3,118.4,263.1600426272779,8.846560977,160381250.0,54436665.67750772,66.05796146525374,solvable_with_capex_reduction
2018-04-04,SOLAR JAIBA 4,118.4,263.1600426272779,8.846560977,160381250.0,54436665.67750772,66.05796146525374,solvable_with_capex_reduction
2018-04-04,SOLAR JAIBA 9,117.81,267.9447624653585,8.846560977,106920830.0,34976806.27215279,67.28719158637958,solvable_with_capex_reduction
2019-10-18,LUIZ GONZAGA II,84.4,181.55910194243873,8.536074381,121006810.0,42847350.4419325,64.59095943283482,solvable_with_capex_reduction
2019-10-18,SERRA DO MEL I,84.9,144.45282020640997,8.536074381,223574150.0,112323087.99826774,49.76025269546245,solvable_with_capex_reduction
2019-10-18,SERRA DO MEL II,84.0,143.7649560270092,8.536074381,74524720.0,37130869.213721976,50.176439155058915,solvable_with_capex_reduction
2021-07-08,Boa Hora 4,120.0,316.7925961117681,11.96455829,109820000.0,31206039.470165174,71.5843749133444,solvable_with_capex_reduction
